filename,season,celebrity,nationality,status,source_raw
spring_Anne_Curtis_001.jpg,spring,Anne Curtis,Filipino,saved,pre-existing
spring_Anne_Curtis_002.jpg,spring,Anne Curtis,Filipino,saved,pre-existing
spring_Anne_Curtis_003.jpg,spring,Anne Curtis,Filipino,saved,pre-existing
spring_Anne_Curtis_004.jpg,spring,Anne Curtis,Filipino,saved,pre-existing
spring_Anne_Curtis_005.jpg,spring,Anne Curtis,Filipino,saved,pre-existing
spring_Anne_Curtis_006.jpg,spring,Anne Curtis,Filipino,saved,pre-existing
spring_Anne_Curtis_007.jpg,spring,Anne Curtis,Filipino,saved,pre-existing
spring_Anne_Curtis_008.jpg,spring,Anne Curtis,Filipino,saved,pre-existing
spring_Anne_Curtis_009.jpg,spring,Anne Curtis,Filipino,saved,pre-existing
spring_Anne_Curtis_010.jpg,spring,Anne Curtis,Filipino,saved,pre-existing
spring_Anne_Curtis_011.jpg,spring,Anne Curtis,Filipino,saved,pre-existing
spring_Anne_Curtis_012.jpg,spring,Anne Curtis,Filipino,saved,pre-existing
spring_Anne_Curtis_013.jpg,spring,Anne Curtis,Filipino,saved,pre-existing
spring_Anne_Curtis_014.jpg,spring,Anne Curtis,Filipino,saved,pre-existing
spring_Anne_Curtis_015.jpg,spring,Anne Curtis,Filipino,saved,pre-existing
spring_Anne_Curtis_016.jpg,spring,Anne Curtis,Filipino,saved,pre-existing
spring_Julia_Barretto_001.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_002.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_003.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_004.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_005.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_006.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_007.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_008.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_009.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_010.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_011.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_012.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_013.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_014.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_015.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_016.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_017.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_018.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Julia_Barretto_019.jpg,spring,Julia Barretto,Filipino,saved,pre-existing
spring_Marian_Rivera_001.jpg,spring,Marian Rivera,Filipino,saved,pre-existing
spring_Marian_Rivera_002.jpg,spring,Marian Rivera,Filipino,saved,pre-existing
spring_Marian_Rivera_003.jpg,spring,Marian Rivera,Filipino,saved,pre-existing
spring_Marian_Rivera_004.jpg,spring,Marian Rivera,Filipino,saved,pre-existing
spring_Marian_Rivera_005.jpg,spring,Marian Rivera,Filipino,saved,pre-existing
spring_Marian_Rivera_006.jpg,spring,Marian Rivera,Filipino,saved,pre-existing
spring_Marian_Rivera_007.jpg,spring,Marian Rivera,Filipino,saved,pre-existing
spring_Marian_Rivera_008.jpg,spring,Marian Rivera,Filipino,saved,pre-existing
spring_Marian_Rivera_009.jpg,spring,Marian Rivera,Filipino,saved,pre-existing
